"Year","Depletion","Ensemble.Model","Region"
1954,1,"1","All regions"
1955,0.993022394605025,"1","All regions"
1956,0.984205575085409,"1","All regions"
1957,0.980186304886242,"1","All regions"
1958,0.973926069881372,"1","All regions"
1959,0.96381105689421,"1","All regions"
1960,0.949206795171535,"1","All regions"
1961,0.931756334642793,"1","All regions"
1962,0.91044776119403,"1","All regions"
1963,0.877526050420168,"1","All regions"
1964,0.846878554083546,"1","All regions"
1965,0.834484316509617,"1","All regions"
1966,0.834424053104256,"1","All regions"
1967,0.80804050479861,"1","All regions"
1968,0.757257839778372,"1","All regions"
1969,0.712070650270101,"1","All regions"
1970,0.698509110988404,"1","All regions"
1971,0.679643940338194,"1","All regions"
1972,0.644060611330927,"1","All regions"
1973,0.602983833718245,"1","All regions"
1974,0.548289220464372,"1","All regions"
1975,0.515267420415364,"1","All regions"
1976,0.556734364492266,"1","All regions"
1977,0.636475140541724,"1","All regions"
1978,0.66647458145068,"1","All regions"
1979,0.644253825696473,"1","All regions"
1980,0.623802602274059,"1","All regions"
1981,0.588826644156243,"1","All regions"
1982,0.564218235278103,"1","All regions"
1983,0.566280378964712,"1","All regions"
1984,0.598735925217761,"1","All regions"
1985,0.619173001070971,"1","All regions"
1986,0.626863840451081,"1","All regions"
1987,0.617951077371367,"1","All regions"
1988,0.623017173984314,"1","All regions"
1989,0.590195055804736,"1","All regions"
1990,0.548912351443124,"1","All regions"
1991,0.552375891121192,"1","All regions"
1992,0.566835646941773,"1","All regions"
1993,0.567576592931263,"1","All regions"
1994,0.569623369709875,"1","All regions"
1995,0.573383169585647,"1","All regions"
1996,0.588524831960218,"1","All regions"
1997,0.591460424093804,"1","All regions"
1998,0.604420302690362,"1","All regions"
1999,0.584143409833603,"1","All regions"
2000,0.585777574962447,"1","All regions"
2001,0.560343859085985,"1","All regions"
2002,0.525716151146658,"1","All regions"
2003,0.483914895279775,"1","All regions"
2004,0.463609318857938,"1","All regions"
2005,0.484897438622595,"1","All regions"
2006,0.492896700003258,"1","All regions"
2007,0.483357874570528,"1","All regions"
2008,0.467080765540903,"1","All regions"
2009,0.463673062546723,"1","All regions"
2010,0.460911182843811,"1","All regions"
2011,0.449886245498787,"1","All regions"
2012,0.46475911631621,"1","All regions"
2013,0.454060324825986,"1","All regions"
2014,0.460056350539216,"1","All regions"
2015,0.466199874393682,"1","All regions"
2016,0.430235225827851,"1","All regions"
2017,0.412863070539419,"1","All regions"
2018,0.406923727618779,"1","All regions"
2019,0.39424107014981,"1","All regions"
2020,0.367894208235688,"1","All regions"
2021,0.369881054186426,"1","All regions"
2022,0.418875302042908,"1","All regions"
1954,1,"2","All regions"
1955,0.996128052491552,"2","All regions"
1956,0.991797974851786,"2","All regions"
1957,0.990430706020754,"2","All regions"
1958,0.987802873779113,"2","All regions"
1959,0.982634295181225,"2","All regions"
1960,0.973999847692542,"2","All regions"
1961,0.964706857032393,"2","All regions"
1962,0.955274445437678,"2","All regions"
1963,0.939315176856142,"2","All regions"
1964,0.924444714779559,"2","All regions"
1965,0.920762286860582,"2","All regions"
1966,0.922999389126451,"2","All regions"
1967,0.904057645134914,"2","All regions"
1968,0.869708806818182,"2","All regions"
1969,0.844460929772502,"2","All regions"
1970,0.843632794186592,"2","All regions"
1971,0.831931444472553,"2","All regions"
1972,0.806745809344271,"2","All regions"
1973,0.776990886557206,"2","All regions"
1974,0.737266679179962,"2","All regions"
1975,0.719500519351488,"2","All regions"
1976,0.765856271453246,"2","All regions"
1977,0.829053130411009,"2","All regions"
1978,0.840435249435105,"2","All regions"
