steepness,alpha,beta,M,M12,Model,CPUE,Total.likelihood,Total.LF,Total.CPUE,Age.length,BH.Steep,CPUE.LL.WCPO,CPUE.Troll,CPUE.LL.EPO,LF.NZ.troll.Samp.14.16,LF.NZ.troll,Maximum.gradient,negvals,Steepness,Frecent.Fmsy,CV.fmsy,SB.SBmsy,SD.SBmsy,Sbrecent.SBF0,SD.depletion,trimodality,bimodality
0.912813208,17.3990625,3.3759375,0.283117786,0.262793198,1,north.WCPO,-41816.20423,-42453.73332,-166.3383147,786.7781174,10.30625344,-85.43182595,-7.818706133,-73.08778266,-130.9078627,-4711.949973,8.13E-07,0,0.912813208,0.340020401,0.060308958,2.399,0.18759999,0.373478814,0.050120883,0.147,0.399
0.850144153,17.3990625,3.3759375,0.42311057,0.392736115,2,north.WCPO,-41831.17029,-42466.94948,-175.5990234,796.454625,8.525239597,-85.55697308,-14.36040173,-75.68164855,-130.4803069,-4704.498392,5.59E-07,0,0.850144153,0.117041199,0.085457907,3.348,0.3237668,0.564547361,0.045874839,0.07,0.378
0.872960905,17.3990625,3.3759375,0.255258759,0.236934127,3,north.WCPO,-41810.16806,-42450.92595,-164.0593252,787.332081,10.66623971,-84.97285611,-6.577577754,-72.5088913,-131.0156718,-4712.901941,1.45E-05,0,0.872960905,0.515995872,0.056051487,1.964,0.14713264,0.33316314,0.050088557,0.119,0.413
0.780125615,17.3990625,3.3759375,0.435342733,0.404090151,4,north.WCPO,-41716.62013,-42555.16635,-178.8178989,1005.101446,7.59472454,-83.65010514,-18.98269364,-76.18510008,-133.2083348,-4767.283457,5.75E-07,0,0.780125615,0.10539629,0.092539181,3.264,0.34121435,0.588932914,0.043291652,0.294,0.427
0.899784396,17.3990625,3.3759375,0.29330588,0.272249904,5,north.WCPO,-41818.23798,-42454.59728,-167.2415372,786.6901422,10.15276117,-85.55717919,-8.345573974,-73.338784,-130.8998581,-4711.839567,1.36E-05,0,0.899784396,0.328299409,0.061992622,2.418,0.19246112,0.385815501,0.049940325,0.147,0.392
0.932668908,17.3990625,3.3759375,0.453545065,0.420985765,6,north.WCPO,-41724.51816,-42542.36038,-179.4502457,984.8430658,7.508394242,-84.62365902,-18.37867906,-76.44790759,-132.8418013,-4757.750782,1.52E-06,0,0.932668908,0.043383948,0.09124753,6.284,0.64926161,0.610537233,0.045159231,0.147,0.483
0.873082448,17.3990625,3.3759375,0.446713738,0.414644848,7,north.WCPO,-41724.21985,-42542.2934,-179.2155033,984.7706797,7.557871521,-84.61844624,-18.22316539,-76.37389163,-132.8443622,-4757.868083,7.59E-07,0,0.873082448,0.069396253,0.09015181,4.322,0.44347781,0.600076579,0.044705518,0.147,0.483
0.795970708,17.3990625,3.3759375,0.314332374,0.291766939,8,north.WCPO,-41822.17466,-42456.27837,-168.9740561,786.5100105,9.856462534,-85.756617,-9.350997149,-73.86644198,-130.8808046,-4711.535295,1.33E-06,0,0.795970708,0.419463087,0.065127319,2.098,0.17676729,0.401669768,0.049417657,0.154,0.378
0.908769524,17.3990625,3.3759375,0.351754334,0.326502433,9,north.WCPO,-41828.15919,-42458.88528,-171.5537034,786.2416643,9.406516098,-86.08185595,-10.96220189,-74.50964559,-130.8398065,-4710.8671,2.26E-06,0,0.908769524,0.178890877,0.070799586,3.128,0.27379506,0.461537487,0.049233812,0.147,0.385
0.839631751,17.3990625,3.3759375,0.285159341,0.264688192,10,north.WCPO,-41816.64883,-42453.92016,-166.5302506,786.7560303,10.26662813,-85.43592233,-7.910662554,-73.18366574,-130.905993,-4711.910305,2.29E-06,0,0.839631751,0.456829603,0.060596197,2.055,0.16109921,0.367957808,0.049526782,0.147,0.392
0.937029577,17.3990625,3.3759375,0.243111511,0.225658911,11,north.WCPO,-41807.346,-42449.77266,-162.7560718,787.4145643,10.89808377,-84.79016669,-5.861214061,-72.10469105,-131.018349,-4713.021919,6.98E-07,0,0.937029577,0.43956044,0.053600167,2.16,0.15590937,0.32355473,0.050024348,0.126,0.413
0.887198267,17.3990625,3.3759375,0.332561012,0.30868697,12,north.WCPO,-41820.70286,-42462.87222,-170.7993393,796.8191542,9.484754133,-85.38675293,-11.10952801,-74.30305834,-130.5061424,-4705.036702,1.15E-06,0,0.887198267,0.22172949,0.069548263,2.79,0.23864539,0.457771101,0.048574273,0.084,0.364
0.969800351,17.3990625,3.3759375,0.284289491,0.263880787,13,north.WCPO,-41816.41613,-42453.8262,-166.4384781,786.7709751,10.2982837,-85.46332231,-7.891748858,-73.08340689,-130.9071693,-4711.951241,2.37E-06,0,0.969800351,0.239406272,0.060532861,2.946,0.23100212,0.380462752,0.05048783,0.147,0.392
0.932229246,17.3990625,3.3759375,0.477210073,0.442951899,14,north.WCPO,-41834.75747,-42468.51574,-177.3432344,796.7346687,8.104677611,-85.46215985,-15.67393201,-76.20714257,-130.4618007,-4704.068695,9.10E-07,0,0.932229246,0.040933279,0.094681082,6.038,0.6169929,0.626466486,0.04532067,0.105,0.35
0.877762287,17.3990625,3.3759375,0.330127223,0.306427899,15,north.WCPO,-41824.83257,-42457.43004,-170.1168136,786.3794986,9.658351329,-85.9232113,-10.06650778,-74.12709449,-130.8632015,-4711.251796,5.12E-07,0,0.877762287,0.258331181,0.067569364,2.628,0.22527126,0.431600883,0.04970746,0.147,0.364
0.839685169,17.3990625,3.3759375,0.442858708,0.411066566,16,north.WCPO,-41838.2143,-42463.43051,-176.0488691,786.2205294,8.565697031,-86.33591942,-13.81216296,-75.90078677,-130.740982,-4709.047534,2.33E-06,0,0.839685169,0.115794349,0.086473003,3.368,0.32587998,0.559030078,0.045807185,0.196,0.336
0.970297063,17.3990625,3.3759375,0.32777921,0.304248447,17,north.WCPO,-41819.95005,-42462.57344,-170.4568379,796.8472258,9.553878153,-85.3804857,-10.90378017,-74.17257203,-130.5069684,-4705.058686,4.09E-06,0,0.970297063,0.138007176,0.068763105,3.818,0.32417826,0.458478445,0.049314569,0.077,0.364
0.898412478,17.3990625,3.3759375,0.364360179,0.338203325,18,north.WCPO,-41829.9286,-42459.66282,-172.325635,786.1847523,9.268667398,-86.14688633,-11.44382766,-74.73492098,-130.8264501,-4710.642809,6.40E-07,0,0.898412478,0.168548795,0.072802167,3.164,0.28098163,0.475958792,0.048760463,0.14,0.385
0.901790722,17.3990625,3.3759375,0.361898013,0.335917913,19,north.WCPO,-41829.59282,-42459.51523,-172.1785828,786.1946378,9.295051904,-86.13551829,-11.35208999,-74.69097456,-130.8290536,-4710.68716,5.64E-07,0,0.901790722,0.169176112,0.072420248,3.173,0.28094256,0.473282413,0.048866569,0.14,0.385
